DESCRIÇÃO;Janeiro 2026;;;Fevereiro 2026;;;Março 2026;;;Abril 2026;;;Maio 2026;;;Junho 2026;;;Julho 2026;;;Agosto 2026;;;Setembro 2026;;;Outubro 2026;;;Novembro 2026;;;Dezembro 2026;;;Feriados Abril 2026;;;Feriados Maio 2026;;
;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS;QTD;Nº PAS/VEÍC;EST PASSAGEIROS
VEÍCULOS VISITANTES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMINHAO TOCO LOCAL;44;2;88;35;2;70;32;2;64;35;2;70;25;2;50;36;2;72;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0
MICRO ONIBUS LOCAL;9;20;180;2;20;40;2;20;40;1;20;20;1;20;20;0;20;0;0;20;0;0;20;0;0;20;0;0;20;0;0;20;0;0;20;0;0;20;0;0;20;0
MOTO ou triciclo LOCAL;398;2;796;403;2;806;554;2;1.108;535;2;1.070;560;2;1.120;432;2;864;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0
ONIBUS REGULAR LOCAL;4;40;160;13;40;520;13;40;520;39;40;1.560;25;40;1.000;9;40;360;0;40;0;0;40;0;0;40;0;0;40;0;0;40;0;0;40;0;0;40;0;0;40;0
ONIBUS ESPECIAL LOCAL;2;45;90;0;45;0;1;45;45;0;45;0;0;45;0;0;45;0;0;45;0;0;45;0;0;45;0;0;45;0;0;45;0;0;45;0;0;45;0;0;45;0
VANS e SIMILARES LOCAL;5;15;75;4;15;60;10;15;150;11;15;165;7;15;105;3;15;45;0;15;0;0;15;0;0;15;0;0;15;0;0;15;0;0;15;0;0;15;0;0;15;0
PATROL E SIMILAR LOCAL;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
TRATOR COM CARRETA;1;1;1;0;1;0;0;1;0;0;1;0;3;1;3;1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
TRATOR DE PNEUS LOCAL;3;1;3;3;1;3;2;1;2;3;1;3;2;1;2;1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
TOTAL DE VEÍCULOS LOCAIS;4.307;;16.029;3.805;;14.225;4.431;;15.797;4.536;;17.590;4.937;;18.478;4.029;;14.631;0;;0;0;;0;0;;0;0;;0;0;;0;0;;0;0;;0;0;;0
TOTAL DE VEÍCULOS NO PERÍODO;14.045;;52.711;11.249;;41.699;11.210;;40.468;13.010;;48.981;13.206;;48.798;10.783;;38.777;0;;0;0;;0;0;;0;0;;0;0;;0;0;;0;0;;0;0;;0
